,sigma,prototypes_per_class,accuracy,kappa_t,kappa_m,kappa
0,2,2,0.778,0.546,0.554,0.555
1,2,4,0.85,0.695,0.673,0.697
2,2,6,0.874,0.744,0.725,0.747
3,2,8,0.879,0.754,0.736,0.757
4,4,2,0.838,0.67,0.646,0.672
5,4,4,0.88,0.756,0.739,0.759
6,4,6,0.882,0.76,0.743,0.764
7,4,8,0.88,0.757,0.739,0.76
8,6,2,0.868,0.731,0.711,0.734
9,6,4,0.88,0.757,0.739,0.761
10,6,6,0.881,0.759,0.741,0.763
11,6,8,0.883,0.761,0.744,0.765
12,8,2,0.878,0.752,0.734,0.755
13,8,4,0.88,0.756,0.739,0.76
14,8,6,0.88,0.756,0.739,0.76
15,8,8,0.884,0.763,0.746,0.767
16,10,2,0.878,0.752,0.734,0.756
17,10,4,0.882,0.759,0.742,0.763
18,10,6,0.881,0.757,0.74,0.762
19,10,8,0.884,0.764,0.747,0.768
20,12,2,0.882,0.76,0.742,0.763
21,12,4,0.882,0.76,0.743,0.764
22,12,6,0.879,0.754,0.737,0.759
23,12,8,0.881,0.757,0.74,0.761
24,14,2,0.881,0.759,0.741,0.762
25,14,4,0.881,0.758,0.74,0.762
26,14,6,0.881,0.759,0.741,0.763
27,14,8,0.88,0.756,0.738,0.76
28,16,2,0.88,0.756,0.739,0.76
29,16,4,0.881,0.759,0.741,0.763
30,16,6,0.88,0.755,0.738,0.76
31,16,8,0.881,0.757,0.74,0.762
32,18,2,0.879,0.755,0.737,0.758
33,18,4,0.881,0.759,0.741,0.763
34,18,6,0.883,0.762,0.745,0.766
35,18,8,0.879,0.753,0.736,0.758
36,20,2,0.881,0.758,0.741,0.762
37,20,4,0.881,0.757,0.74,0.761
38,20,6,0.883,0.761,0.744,0.765
39,20,8,0.879,0.755,0.737,0.759
